xAccl,yAccl,zAccl,encoder
746,-7,-8,0,
1007,-87,-9,0,
1016,-92,-16,0,
1006,-93,-8,0,
999,-93,5,0,
1000,-97,0,0,
1005,-93,5,0,
1004,-92,4,0,
1012,-91,9,0,
1008,-86,0,0,
1009,-91,5,0,
1008,-92,5,0,
1006,-89,-2,0,
1011,-90,0,0,
1010,-93,1,0,
999,-92,11,0,
1004,-82,33,0,
488,30,59,0,
1216,71,117,0,
1222,-176,35,0,
986,24,184,0,
1016,-109,365,0,
1046,-133,401,0,
813,-58,525,0,
980,-204,591,0,
422,-98,817,0,
377,-19,862,0,
189,-27,929,0,
-412,131,923,0,
-149,-136,822,0,
-506,4,756,0,
-719,107,701,0,
-755,44,535,0,
-1110,123,475,0,
-897,126,367,0,
-1026,148,298,0,
-1070,131,212,0,
-1057,121,160,0,
-1059,160,196,0,
-1054,152,192,0,
-1100,167,223,0,
-1035,152,277,0,
-973,119,367,0,
-996,136,434,0,
-767,155,586,0,
-750,89,659,0,
-530,67,781,0,
-585,95,902,0,
-314,99,939,0,
-11,47,952,0,
226,-11,919,0,
535,37,905,0,
849,-44,836,0,
803,-86,689,0,
2047,548,1370,0,
1083,-16,475,0,
993,-63,366,0,
997,-159,205,0,
1036,-78,242,0,
1036,-85,197,0,
1048,-80,186,0,
978,-98,197,0,
911,-35,181,0,
953,-27,291,0,
992,-63,405,0,
803,-16,537,0,
848,-94,599,0,
716,-63,650,0,
543,-54,797,0,
293,-96,892,0,
202,-62,912,0,
197,-110,854,0,
-314,212,968,0,
-543,114,877,0,
-780,173,755,0,
-772,149,686,0,
-848,167,550,0,
-687,119,540,0,
-979,130,434,0,
-1018,109,331,0,
-1049,122,313,0,
-1039,125,305,0,
-1016,135,329,0,
-980,124,373,0,
-1040,153,351,0,
-435,413,699,0,
-844,135,579,0,
-771,159,654,0,
-729,101,719,0,
-546,82,818,0,
-473,88,909,0,
-191,-5,905,0,
20,56,953,0,
298,-52,919,0,
393,-56,859,0,
631,-85,790,0,
658,-11,698,0,
870,-89,577,0,
972,-110,502,0,
930,-128,386,0,
1008,-47,367,0,
1000,-91,322,0,
982,-83,320,0,
1003,-94,328,0,
951,-101,326,0,
989,-108,381,0,
1041,-98,466,0,
797,-22,576,0,
866,-126,619,0,
723,-74,775,0,
486,-17,825,0,
287,-20,908,0,
248,-47,923,0,
-20,-16,959,0,
-81,34,943,0,
-490,52,938,0,
-595,84,823,0,
-739,138,781,0,
-816,71,627,0,
-890,117,570,0,
-940,127,521,0,
-946,135,486,0,
-975,124,432,0,
-999,129,427,0,
-968,114,430,0,
-945,158,495,0,
-967,116,452,0,
-890,81,614,0,
-799,100,663,0,
-765,98,810,0,
-659,42,787,0,
-477,71,878,0,
-245,76,943,0,
-70,-34,948,0,
81,-53,965,0,
241,5,948,0,
380,-34,881,0,
637,-33,836,0,
672,-50,703,0,
923,-124,619,0,
933,-87,534,0,
959,-123,502,0,
883,-69,480,0,
940,-87,433,0,
960,-74,445,0,
932,-96,427,0,
952,-83,478,0,
906,-106,497,0,
868,-83,574,0,
821,-121,605,0,
700,-52,772,0,
563,-28,840,0,
425,-49,871,0,
213,4,939,0,
135,-34,952,0,
-15,33,935,0,
-448,99,992,0,
-402,52,892,0,
-592,25,831,0,
-721,116,742,0,
-715,76,676,0,
-852,89,616,0,
