time,theta,x_pivot,time_seconds,filtered_theta
0,0,0.0,0.0,0.0
11,229,0.0,0.011,226.7549019607843
18,229,0.0,0.018,228.24918032786886
26,229,0.0,0.026,228.71832718327184
32,229,0.0,0.032,228.89268978444235
44,329,0.0,0.044,290.7768831633566
51,329,0.0,0.051,314.4008747351876
61,329,0.0,0.061,323.4236752806056
71,506,0.0,0.071,436.2621314695355
78,506,0.0,0.078,479.36250909243245
89,646,0.0,0.089,582.3501438658454
97,646,0.0,0.097,621.6879184245429
105,646,0.0,0.105,636.7136111803812
112,646,0.0,0.112,642.4529151039283
121,683,0.0,0.121,667.5123917146037
128,683,0.0,0.128,677.0842600394329
137,683,0.0,0.137,680.7403884036698
145,913,0.0,0.145,824.2847225840542
152,913,0.0,0.152,879.1137793484849
160,913,0.0,0.16,900.0566154613998
170,776,0.0,0.17,823.385410576979
178,776,0.0,0.178,794.0996162695373
186,776,0.0,0.186,782.9134382316327
195,1229,0.0,0.195,1058.610095329063
203,1229,0.0,0.203,1163.9168477555565
211,1229,0.0,0.211,1204.1404479376065
220,1047,0.0,0.22,1107.0223101047823
227,1047,0.0,0.227,1069.9264823767405
237,1047,0.0,0.237,1055.7571370254393
247,1033,0.0,0.247,1041.6924528570792
254,1033,0.0,0.254,1036.3202215457982
261,1033,0.0,0.261,1034.2682117803151
270,1033,0.0,0.27,1033.4844137951475
279,106,0.0,0.279,460.2675220339745
288,106,0.0,0.288,241.318152306776
296,106,0.0,0.296,157.68693488635347
304,19,0.0,0.304,71.9736953310435
311,19,0.0,0.311,39.234151106777006
320,19,0.0,0.32,26.728757989287516
330,649,0.0,0.33,411.3135357735192
339,649,0.0,0.339,558.2118493312703
346,649,0.0,0.346,614.3220122202918
356,620,0.0,0.356,617.831201655858
365,620,0.0,0.365,619.1715927472823
376,311,0.0,0.376,428.7110740622712
385,311,0.0,0.385,355.96162943953146
392,311,0.0,0.392,328.1738142563231
399,311,0.0,0.399,317.55981332943793
408,-82,0.0,0.408,70.61826815328203
416,-82,0.0,0.416,-23.705008869591907
423,-82,0.0,0.423,-59.73329476205776
433,-662,0.0,0.433,-431.95458889152036
441,-662,0.0,0.441,-574.1304719125034
449,-662,0.0,0.449,-628.4368268459898
459,-665,0.0,0.459,-651.0341105917158
466,-665,0.0,0.466,-659.6655049291576
474,-665,0.0,0.474,-662.962404195757
484,2047,0.0,0.484,1011.8864698316013
491,2047,0.0,0.491,1651.6218136905613
497,2047,0.0,0.497,1895.9789712400827
507,-856,0.0,0.507,195.16243068874246
516,-856,0.0,0.516,-454.4916791738559
524,-856,0.0,0.524,-702.6374682103102
535,-1042,0.0,0.535,-912.3750473645551
542,-1042,0.0,0.542,-992.4876738833553
550,-1042,0.0,0.55,-1023.0879742855109
559,-1039,0.0,0.559,-1032.9221470069274
566,-1039,0.0,0.566,-1036.6784667352715
575,-1039,0.0,0.575,-1038.1132531988872
584,-1062,0.0,0.584,-1052.8760746026378
592,-1062,0.0,0.592,-1058.514970609026
600,-1062,0.0,0.6,-1060.6688372244403
609,-891,0.0,0.609,-955.8077289880628
619,-891,0.0,0.619,-915.7543497397481
627,-891,0.0,0.627,-900.4553202311816
639,-1107,0.0,0.639,-1028.1069525237742
649,-1107,0.0,0.649,-1076.865537340141
659,-1107,0.0,0.659,-1095.4896594966483
669,-1037,0.0,0.669,-1059.3410619373117
678,-1037,0.0,0.678,-1045.5335263152865
688,-1183,0.0,0.688,-1130.4924793660325
696,-1183,0.0,0.696,-1162.9439117828108
705,-1183,0.0,0.705,-1175.3392559824001
714,-1100,0.0,0.714,-1128.777035098148
723,-1100,0.0,0.723,-1110.9918493120438
730,-1100,0.0,0.73,-1104.1985128379836
739,-1175,0.0,0.739,-1147.956238358149
745,-1175,0.0,0.745,-1164.6702022364636
753,-1175,0.0,0.753,-1171.0543683512417
761,-1175,0.0,0.761,-1173.4929028172617
769,-1076,0.0,0.769,-1113.2389752143035
777,-1076,0.0,0.777,-1090.224022825649
786,-1076,0.0,0.786,-1081.4330932626435
795,-1181,0.0,0.795,-1142.9688257810208
