time_s,alpha_m_rad_s2,omega_m_rad_s,theta_m_rad
0.0,-0.0,0.0,0.0
0.005,-0.018,-0.009,-0.0045
0.01,-0.031999999999999994,-0.033999999999999996,-0.026
0.015,-0.041999999999999996,-0.07099999999999998,-0.07849999999999999
0.02,-0.047999999999999994,-0.11599999999999998,-0.17199999999999996
0.025,-0.049999999999999996,-0.16499999999999998,-0.31249999999999994
0.03,-0.048,-0.21399999999999997,-0.5019999999999999
0.035,-0.041999999999999996,-0.25899999999999995,-0.7384999999999998
0.04,-0.032,-0.29599999999999993,-1.0159999999999998
0.045,-0.018000000000000013,-0.32099999999999995,-1.3244999999999998
0.05,0.0,-0.32999999999999996,-1.6499999999999997
0.055,0,-0.32999999999999996,-1.9799999999999995
0.06,0,-0.32999999999999996,-2.3099999999999996
0.065,0,-0.32999999999999996,-2.6399999999999997
0.07,0,-0.32999999999999996,-2.9699999999999998
0.075,0,-0.32999999999999996,-3.3
0.08,0,-0.32999999999999996,-3.63
0.085,0,-0.32999999999999996,-3.96
0.09,0,-0.32999999999999996,-4.29
0.095,0,-0.32999999999999996,-4.62
0.1,0,-0.32999999999999996,-4.95
0.105,0,-0.32999999999999996,-5.28
0.11,0,-0.32999999999999996,-5.61
0.115,0,-0.32999999999999996,-5.94
0.12,0,-0.32999999999999996,-6.2700000000000005
0.125,0,-0.32999999999999996,-6.6000000000000005
0.13,0,-0.32999999999999996,-6.930000000000001
0.135,0,-0.32999999999999996,-7.260000000000001
0.14,0,-0.32999999999999996,-7.590000000000001
0.145,0,-0.32999999999999996,-7.920000000000001
0.15,0,-0.32999999999999996,-8.25
0.155,0.01799999999999992,-0.321,-8.5755
0.16,0.03199999999999994,-0.2960000000000001,-8.884
0.165,0.041999999999999954,-0.2590000000000001,-9.1615
0.17,0.047999999999999966,-0.21400000000000016,-9.398
0.17500000000000002,0.04999999999999997,-0.1650000000000002,-9.5875
0.18,0.04799999999999999,-0.11600000000000023,-9.728
0.185,0.042,-0.07100000000000023,-9.8215
0.19,0.03200000000000001,-0.034000000000000224,-9.874
