time_s,alpha_m_rad_s2,omega_m_rad_s,theta_m_rad
0.0,0.0,0.0,0.0
0.025,-0.0,0.0,0.0
0.05,-5562.784889166406,-69.53481111458008,-0.869185138932251
0.07500000000000001,-10026.92202048715,-264.40614748524956,-5.0434471214301215
0.1,-13060.070001306314,-552.9935477576678,-15.260943311966589
0.125,-11340.497651590345,-858.000643418876,-32.898370701673386
0.15000000000000002,0.0,-999.7568640637554,-56.12033954520628
0.17500000000000002,0.0,-999.7568640637554,-81.11426114680016
0.2,0.0,-999.7568640637554,-106.10818274839404
0.225,0.0,-999.7568640637554,-131.10210434998794
0.25,0.0,-999.7568640637554,-156.09602595158182
0.275,0.0,-999.7568640637554,-181.0899475531757
0.30000000000000004,0.0,-999.7568640637554,-206.0838691547696
0.325,0.0,-999.7568640637554,-231.07779075636347
0.35000000000000003,0.0,-999.7568640637554,-256.0717123579574
0.375,0.0,-999.7568640637554,-281.0656339595513
0.4,0.0,-999.7568640637554,-306.0595555611452
0.42500000000000004,13627.501079835798,-829.4131005658079,-328.92418011901475
0.45,16318.927012116344,-455.0827494164061,-344.9803782437924
